antibiotic	summary
Eravacycline	Eravacycline is used for complicated intra-abdominal infections, particularly when resistant Enterobacterales are a concern. It is a newer fluorocycline related to tetracyclines and designed to retain activity against many tetracycline-resistant strains. Resistance can occur via efflux and other determinants, and activity varies by organism so susceptibility data matter.
ceftriaxone	Ceftriaxone is used once-daily IV/IM for pneumonia, sepsis, meningitis, gonorrhea, and many community-acquired infections. It is a third-generation cephalosporin known for long half-life and good tissue penetration. Resistance commonly arises via ESBLs and AmpC enzymes in Enterobacterales and via altered penicillin-binding proteins in pneumococci.
azithromycin	Azithromycin is used for respiratory infections, some sexually transmitted infections, and atypical pathogens, often because of convenient dosing. It is a macrolide related to erythromycin, developed to improve tissue penetration and tolerability. Resistance is widespread through target methylation and efflux, and macrolide-resistant pneumococci and gonococci are important clinical concerns.
nafcillin	Nafcillin treats serious infections due to methicillin-susceptible Staphylococcus aureus, including endocarditis and bacteremia. It is a penicillinase-resistant penicillin developed to remain active in the presence of staphylococcal beta‑lactamase. MRSA with altered penicillin-binding proteins is resistant, and some strains can also show tolerance or reduced susceptibility patterns that complicate therapy.
piperacillin	Piperacillin is used for severe hospital-acquired infections and covers many Gram-negative organisms including Pseudomonas when susceptible. It is an extended-spectrum ureidopenicillin beta‑lactam developed to broaden Gram-negative coverage. Resistance can occur via beta‑lactamases, porin changes, and efflux, and combinations with inhibitors are often used to counter beta‑lactamase-mediated failure.
daptomycin	Daptomycin is used for serious Gram-positive infections such as MRSA bacteremia and right-sided endocarditis, but it is not used for pneumonia because it is inactivated by lung surfactant. It is a lipopeptide introduced as a potent bactericidal option for resistant Gram-positive pathogens. Resistance can develop via changes in cell membrane charge and cell wall physiology, especially with prolonged therapy or deep-seated infections.
amoxicillin-clavulanic acid	Amoxicillin-clavulanic acid is used orally for infections where beta‑lactamase-producing organisms are likely, such as sinusitis, otitis, bite wounds, and some skin infections. It combines an aminopenicillin with clavulanate, a beta‑lactamase inhibitor introduced to overcome common plasmid beta‑lactamases. Resistance persists with ESBLs, AmpC enzymes, and altered penicillin-binding proteins, so it can be ineffective against many resistant Enterobacterales and resistant pneumococci.
neomycin	Neomycin is used mainly topically and orally for bowel decontamination because systemic use is limited by toxicity. It is an aminoglycoside with broad activity but poor absorption from the gut. Resistance can occur via modifying enzymes and reduced uptake, and widespread resistance limits effectiveness for some organisms.
cloxacillin	Cloxacillin is used (often orally or IV depending on region) for methicillin-susceptible Staphylococcus aureus skin and soft tissue infections. It is a penicillinase-resistant penicillin from the early anti-staphylococcal beta‑lactam class. Resistance is common in MRSA through altered targets (PBP2a), making cloxacillin unreliable where MRSA prevalence is high.
telavancin	Telavancin is used for certain serious Gram-positive infections, including MRSA skin infections and some pneumonia cases, depending on local approval and patient factors. It is a lipoglycopeptide designed to enhance activity and provide dual effects on cell wall synthesis and membrane function. Resistance is uncommon but can occur with cell wall changes, and toxicity considerations limit use in some patients.
