23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)	Erm(A) is a ribosomal RNA methylase that was first recognized in Gram‑positive pathogens as a cause of MLSB resistance and later shown to move on transposons and plasmids between staphylococci and streptococci. It is common in community and hospital isolates where macrolide and lincosamide use is high, and it often co-travels with other resistance determinants in multidrug clones. Erm(A) reduces activity of erythromycin and azithromycin and can confer inducible or constitutive resistance to clindamycin (and related macrolides/lincosamides/streptogramin B drugs).
ErmB	ErmB is one of the most widespread erm genes and was historically described in streptococci and enterococci before becoming common in diverse Gram‑positive and anaerobic bacteria through mobile elements. It is frequently detected in human and animal reservoirs and is strongly associated with macrolide exposure and transmission of resistant lineages. ErmB compromises erythromycin and other macrolides and typically drives cross‑resistance to clindamycin and streptogramin B.
ErmC	ErmC was initially characterized in staphylococci and became a classic example of inducible macrolide–lincosamide resistance carried on small plasmids. It remains prevalent in skin and soft‑tissue staphylococcal isolates and can spread in both community and healthcare settings. ErmC decreases susceptibility to erythromycin and azithromycin and can cause inducible clindamycin resistance with broader MLSB cross‑resistance.
tet(M)	tet(M) encodes a ribosomal protection protein first studied in streptococci and enterococci and later found broadly disseminated on conjugative transposons such as Tn916‑like elements. It is globally common in clinical, livestock, and environmental isolates, reflecting heavy tetracycline use and efficient horizontal transfer. tet(M) mainly affects tetracycline and doxycycline and often also reduces minocycline activity (but not reliably tigecycline).
tet(K)	tet(K) is a tetracycline efflux pump historically associated with staphylococci and carried on small plasmids that circulate in both humans and animals. It is common in community staphylococcal strains and can accumulate with other resistance genes in livestock‑associated lineages. tet(K) primarily confers resistance to tetracycline and usually has less impact on doxycycline and minocycline.
tet(C)	tet(C) encodes a tetracycline efflux pump that was described early in Enterobacterales and became established on plasmids that circulate across many Gram‑negative hosts. It is encountered in food, animal, and human isolates, often alongside other plasmid-borne resistance genes. tet(C) primarily confers resistance to tetracycline and tends to have weaker effects on doxycycline and minocycline.
tetA(P)	tetA(P) is a tetracycline efflux determinant originally described in anaerobic and clostridial contexts and is often linked to mobile genetic elements in gut-associated bacteria. It appears in animal and human microbiomes where tetracycline exposure selects for maintenance and transfer. tetA(P) mainly reduces susceptibility to tetracycline-class agents such as tetracycline and, variably, doxycycline.
tetB(P)	tetB(P) is another clostridial-associated tetracycline efflux gene that has been studied as part of mobile resistance modules in intestinal bacteria. Its presence is enriched in settings with agricultural tetracycline use and can be detected in fecal and environmental surveillance. tetB(P) chiefly impacts tetracycline and may contribute to decreased doxycycline activity depending on host background.
vanA	vanA was first recognized in Enterococcus faecium/faecalis as the defining gene cluster behind high-level glycopeptide resistance and then spread internationally via plasmids and transposons. It is now a hallmark of hospital-adapted enterococcal lineages and is closely tracked in infection-control surveillance because of outbreak potential. vanA confers high-level resistance to vancomycin and typically also teicoplanin.
vanB	vanB emerged in enterococci as an alternative vancomycin-resistance cluster that is often chromosomal or carried on mobile elements distinct from vanA. It is common in healthcare-associated enterococci in multiple regions and can be difficult to detect phenotypically because resistance levels vary. vanB causes resistance to vancomycin while usually retaining susceptibility to teicoplanin.
mecA	mecA was identified as the central determinant of methicillin-resistant Staphylococcus aureus (MRSA) and is carried on the SCCmec element that has diversified into multiple lineages. It is globally prevalent in both hospital- and community-associated staphylococci and is a cornerstone marker in epidemiologic tracking of MRSA and MRSE. mecA confers resistance to virtually all beta-lactams, including methicillin/oxacillin, most cephalosporins, and carbapenems (with ceftaroline often retaining activity depending on strain).
CTX-M-15	CTX-M-15 is an extended-spectrum beta-lactamase (ESBL) that rose to prominence in the 2000s, especially in Escherichia coli ST131 and related plasmid lineages. It is now one of the most common ESBLs worldwide in community urinary tract infections and healthcare-associated bacteremia, reflecting efficient plasmid spread and antibiotic pressure. CTX-M-15 compromises third-generation cephalosporins such as cefotaxime and ceftriaxone (often ceftazidime as well) and reduces effectiveness of many penicillins and aztreonam unless combined with an active inhibitor.
CTX-M-14	CTX-M-14 is a CTX-M group 9 ESBL that expanded in Asia and Europe and has been repeatedly introduced into diverse Enterobacterales via plasmids. It is frequently detected in both human and food-animal reservoirs and can circulate in the community alongside other ESBLs. CTX-M-14 primarily hydrolyzes cefotaxime and ceftriaxone and can affect other oxyimino-cephalosporins and aztreonam, limiting standard beta-lactam therapy.
KPC-2	KPC-2 was first described in Klebsiella pneumoniae in the United States and rapidly became a defining carbapenemase of global high-risk clones. It is now endemic in many regions with major hospital outbreaks and is often plasmid-borne, enabling spread across Enterobacterales species. KPC-2 reduces activity of carbapenems (imipenem, meropenem, ertapenem) and many penicillins and cephalosporins; newer inhibitor combinations such as ceftazidime–avibactam may remain active unless additional mutations arise.
KPC-3	KPC-3 is a common variant of KPC carbapenemase that emerged within epidemic Klebsiella pneumoniae lineages and then spread internationally via plasmids. It is most often encountered in hospitals and long-term care settings where inter-facility transmission sustains regional endemicity. KPC-3 reduces activity of carbapenems (imipenem, meropenem, ertapenem) and many other beta-lactams, and treatment may require newer inhibitor combinations depending on additional mutations and permeability changes.
NDM-1	NDM-1 was first reported from the Indian subcontinent in Enterobacterales and quickly became a global public-health concern through travel and plasmid dissemination. It is now found across continents in diverse Gram-negative species and is frequently linked to additional resistance genes that limit treatment options. NDM-1 inactivates carbapenems and most beta-lactams (but not aztreonam unless an ESBL/AmpC is also present), often leaving only a few agents such as polymyxins, tigecycline, or newer combinations depending on the strain.
VIM-2	VIM-2 is a metallo-beta-lactamase that was described in Pseudomonas aeruginosa and Enterobacterales and disseminates via class 1 integrons and plasmids. It is reported worldwide, especially in hospital settings, and is a common driver of difficult-to-treat Pseudomonas outbreaks. VIM-2 compromises carbapenems and most beta-lactams (excluding aztreonam in isolation) and often coexists with other mechanisms that further narrow therapy.
IMP-1	IMP-1 was among the earliest recognized metallo-beta-lactamases, first reported in Japan and then detected globally in multiple Gram-negative species. It spreads through integrons and plasmids and remains an important cause of carbapenem resistance in both Enterobacterales and non-fermenters. IMP-1 reduces activity of carbapenems and most beta-lactams (again sparing aztreonam unless paired with other enzymes), frequently necessitating reliance on non–beta-lactam options.
OXA-48	OXA-48 is a class D carbapenemase that was first described in Klebsiella pneumoniae and has since expanded widely across Europe, North Africa, the Middle East, and beyond via epidemic plasmids. It is common in healthcare-associated transmission and can be hard to detect because it may confer only modest carbapenem MIC elevations unless additional porin loss occurs. OXA-48 compromises carbapenems (especially ertapenem) and penicillins, while many extended-spectrum cephalosporins may be spared unless an ESBL is co-produced.
OXA-23	OXA-23 is a major carbapenemase in Acinetobacter baumannii that became established in international clonal lineages through transposons and plasmids. It is strongly associated with hospital outbreaks, particularly in intensive care units, and is a leading cause of endemic carbapenem-resistant Acinetobacter baumannii in many regions. OXA-23 compromises carbapenems such as imipenem and meropenem and contributes to broad beta-lactam resistance when combined with other resistance mechanisms.
TEM-1	TEM-1 is one of the earliest and most common plasmid-mediated beta-lactamases described in Enterobacterales and remains widespread due to stable, low-cost plasmids. It is frequently found in community and hospital Escherichia coli and Klebsiella isolates and provides a platform from which extended-spectrum and inhibitor-resistant TEM variants can evolve. TEM-1 mainly confers resistance to ampicillin and related penicillins and can reduce activity of early cephalosporins, while amoxicillin-clavulanate may remain effective unless additional mechanisms are present.
SHV-12	SHV-12 is a widely distributed SHV-family ESBL that has been reported for decades, particularly in Klebsiella pneumoniae, and spreads on plasmids across Enterobacterales. It is common in hospital-associated infections and is often found alongside other resistance determinants in multidrug-resistant strains. SHV-12 compromises third-generation cephalosporins such as cefotaxime and ceftriaxone (sometimes ceftazidime) and affects aztreonam, limiting standard beta-lactam choices.
CMY-2	CMY-2 is a plasmid-mediated AmpC beta-lactamase that expanded in Escherichia coli and Salmonella from both human and food-animal sources and is now globally common. It is often detected in community-onset infections and food-chain surveillance, reflecting selection by cephalosporin use and successful plasmid lineages. CMY-2 confers resistance to cephamycins like cefoxitin and reduces susceptibility to third-generation cephalosporins such as ceftriaxone and cefotaxime, limiting many beta-lactam therapies.
DHA-1	DHA-1 is a plasmid-mediated AmpC beta-lactamase originally described in Enterobacterales and often linked to inducible regulation and mobile elements. It is reported worldwide, frequently in Klebsiella and Enterobacter species in hospital settings where cephalosporin pressure is intense. DHA-1 decreases susceptibility to cephamycins and many third-generation cephalosporins (e.g., cefoxitin, cefotaxime/ceftriaxone) and can undermine some inhibitor combinations.
MCR-1.1	MCR-1.1 is a plasmid-borne phosphoethanolamine transferase first highlighted in the mid‑2010s as a mechanism of transferable colistin resistance and rapidly found in humans, livestock, food, and the environment. Its epidemiology is shaped by agricultural and clinical polymyxin use and by spread of Inc-type plasmids across Enterobacterales. MCR-1.1 primarily impacts colistin (and often polymyxin B), reducing the effectiveness of last-line polymyxins.
QnrA1	QnrA1 was among the first plasmid-mediated quinolone resistance determinants described, providing low-level protection of DNA gyrase and topoisomerase IV. It is detected worldwide in Enterobacterales, often on plasmids that also carry ESBLs, and it facilitates selection of higher-level fluoroquinolone resistance during therapy. QnrA1 reduces susceptibility to fluoroquinolones such as ciprofloxacin and levofloxacin and can contribute to nalidixic acid resistance.
